/Users/youshaoxiao/.virtualenvs/py3/bin/python /Users/youshaoxiao/PycharmProjects/cluster_and_cloud_2018/1_vm_scripts/2_vm_setup/test.py
Connecting to Nectar
Connecting to Nectar finshed
Image id: ami-000037b9, image name: NeCTAR Ubuntu 15.10 (Wily) amd64
Image id: ami-000038bb, image name: BTP-2016-01-25
Image id: ami-000037b3, image name: NeCTAR Fedora 22 x86_64
Image id: ami-000037b0, image name: NeCTAR Fedora 23 x86_64
Image id: ami-000037ad, image name: NeCTAR CentOS 7 x86_64
Image id: ami-000037aa, image name: NeCTAR openSUSE 13.2 x86_64
Image id: ami-000037a7, image name: NeCTAR openSUSE Leap 42.1 x86_64
Image id: ami-000037a4, image name: NeCTAR CentOS 6 x86_64
Image id: ami-000037a1, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-0000372f, image name: NeCTAR openSUSE Leap 42.1 x86_64
Image id: ami-0000372c, image name: NeCTAR Fedora 22 x86_64
Image id: ami-00003729, image name: NeCTAR Fedora 23 x86_64
Image id: ami-00003726, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-00003723, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-00003720, image name: NeCTAR Ubuntu 15.10 (Wily) amd64
Image id: ami-0000371d, image name: NeCTAR openSUSE 13.2 x86_64
Image id: ami-0000371a, image name: NeCTAR CentOS 7 x86_64
Image id: ami-00003717, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-00003714, image name: NeCTAR Scientific Linux 6 x86_64
Image id: ami-00003711, image name: NeCTAR CentOS 6 x86_64
Image id: ami-0000370b, image name: snap_base_20151215
Image id: ami-00003708, image name: ersa-ubuntu-1510-20160106
Image id: ami-00003705, image name: ubuntu-15.10-20160106
Image id: ami-000036f0, image name: qiime_1.9.1_ubuntu12_monashbioplatform2
Image id: ami-000036e7, image name: ersa-ubuntu-1510-20151203
Image id: ami-000036e4, image name: ubuntu-15.10-20151203
Image id: ami-000036d8, image name: GamesGroup
Image id: ami-000036d2, image name: ersa-cvmfs-prod-25Nov2015
Image id: ami-000036cc, image name: ubuntu-15.10-20151116.1
Image id: ami-000036ba, image name: JustinCirrosNov2015
Image id: ami-000036b4, image name: Intersect_Ubuntu14_template v1.2
Image id: ami-000036f3, image name: Intersect_Centos6_template v1.7
Image id: ami-000036ae, image name: biowebapp_frontend_base1
Image id: ami-000036ab, image name: Intersect_Ubuntu14_template v1.1
Image id: ami-000036a8, image name: space-ubuntu-base-image-small-disk_v1
Image id: ami-000036a2, image name: intersect-ubuntu-base_v1
Image id: ami-0000369f, image name: Intersect_Centos6_template v1.6
Image id: ami-0000369c, image name: Intersect_Centos6_template v1.4
Image id: ami-00003690, image name: EMU worker node 5Nov2015
Image id: ami-0000367f, image name: Alveo-Galaxy-CloudMan-1446608945
Image id: ami-0000368d, image name: BigData-Workshop
Image id: ami-0000368a, image name: ubuntu-15.04-zfs
Image id: ami-00003687, image name: ubuntu-15.04-server-cloudimg-amd64
Image id: ami-00003684, image name: ubuntu-15.10-server-cloudimg-amd64
Image id: ami-00003673, image name: Intersect_Centos6_template v1.2
Image id: ami-00003670, image name: prada_snapshot0
Image id: ami-0000366a, image name: Intersect_Centos6_template v1.1
Image id: ami-00003667, image name: Intersect_Centos6_template v1
Image id: ami-00003655, image name: straylight-snap
Image id: ami-00003652, image name: snap_base_20151013
Image id: ami-000035f5, image name: NeCTAR CentOS 6 x86_64
Image id: ami-000035ef, image name: GVL 4.0.0
Image id: ami-000035ce, image name: Heat-Load-Balancer
Image id: ami-000035cb, image name: slurmcluster-nci-20150923
Image id: ami-000035c8, image name: virtio-win-0.1.109boot.iso
Image id: ami-000035c2, image name: Vicki_ABC
Image id: ami-000035b6, image name: NeCTAR Ubuntu 15.04 (Vivid) amd64
Image id: ami-00003681, image name: qiime_1.9.1
Image id: ami-00003541, image name: Jas_compute
Image id: ami-0000353e, image name: Jas_main
Image id: ami-00003580, image name: slurmcluster-nci-20150906
Image id: ami-0000351a, image name: whiteflyDB_migrate
Image id: ami-00003514, image name: Ubuntu Server 15.04 (Vivid Vervet) x86_64
Image id: ami-0000350b, image name: gci-vm-0.5
Image id: ami-00003508, image name: gci-vm-0.3
Image id: ami-00003505, image name: gci-vm-0.2
